Address,Latitude,Longitude
"Lakeview, OR",42.188751,-120.345772
"Modesto, CA",37.63928,-120.997015
"Staten Island, NY",40.579509,-74.15019
"Fallbrook, CA",33.376421,-117.251134
"Moscow, ID",46.73239,-117.000167
"Payson, UT",40.044418,-111.732133
"Southern MI/Northern IN, IL",40.633099,-89.398546
"Chicago, IL",41.878133,-87.629782
"Hiouchi, CA",41.792595,-124.072002
"Keller, VA",37.619287,-75.763839
"Duncannon, PA",40.398117,-77.023047
"Soperton, GA",32.377125,-82.592345
"Eugene, OR",44.052045,-123.086772
"Ava, NY",43.419026,-75.479354
"Orange City, FL",28.948869,-81.298696
"Newport, NC",34.786574,-76.859093
"Venice, FL",27.099791,-82.454251
"Hoover, AL",33.405361,-86.811356
"West Salem, OR",44.95036,-123.070067
"Reno, NV",39.529945,-119.814249
"pleasant hill, CA",37.947988,-122.060816
"SE Portland, OR",45.515259,-122.678377
"Ocala, FL",29.187202,-82.140071
"boston, MA",42.360058,-71.058888
"San Antonio, TX",29.425196,-98.494573
"Everett, WA",47.978985,-122.20208
"Woodland, WA",45.904558,-122.74401
"Victorville, CA",34.536239,-117.29276
"Genoa, IL",42.097253,-88.692849
"Neshaminy, PA",40.229544,-75.138763
"Detroit, MI",42.331428,-83.045773
"Wilmington, DE",39.744667,-75.548412
"Tulare, CA",36.207742,-119.347318
"Carol stream, IL",41.91252,-88.134773
"West Monroe, LA",32.518501,-92.147619
"Cape San Blas, FL",29.667564,-85.352463
"Sandy Hook, CT",41.421833,-73.283307
"Novato, CA",38.107442,-122.569686
"Kaukauna Wi 54130, WI",44.278017,-88.272051
"Melbourne, FL",28.083642,-80.608115
"Portland, OR",45.515259,-122.678377
"Georgetown, TX",30.633236,-97.677999
"Irvine, CA",33.684541,-117.826485
"Shreveport, LA",32.525137,-93.750158
"Brighton, MI",42.529478,-83.780211
"Pensacola, FL",30.42133,-87.216892
"Clover, SC",35.111275,-81.226483
"Palmetto, FL",27.521416,-82.572296
"200 miles East of ORD at 39000 feet traveling east, OH",40.417262,-82.907111
"Warrenton, VA",38.713453,-77.795261
"Versailles, KY",38.052587,-84.729954
"Edwardsburg, MI",41.795596,-86.080834
"Dawsonville, GA",34.421192,-84.119072
"Elyria, OH",41.368382,-82.107657
"Blakeslee, OH",41.524192,-84.730237
"Snowflake, AZ",34.513345,-110.078441
"El paso, TX",31.761893,-106.485002
"CHARLESTOWN, IN",38.453109,-85.67023
"Mansfield, TX",32.563212,-97.141674
"Choctaw, OK",35.497586,-97.268903
"Csmpbrll, CA",37.287168,-121.949956
"Napa, CA",38.297565,-122.286874
"Somis, CA",34.263764,-118.994616
"Austin, TX",30.267156,-97.74308
"Carolina Beach, NC",34.035148,-77.893578
"Colorado springs, CO",38.833863,-104.821344
"Harper Woods, MI",42.433066,-82.924064
"Portsmouth, NH",43.071728,-70.762552
"sun prairie, WI",43.183629,-89.213711
"Niagara Falls, NY",43.09622,-79.037735
"Sanford, NC",35.479902,-79.180279
"Elkton, MD",39.606752,-75.833262
"lexington, SC",33.98151,-81.236233
"La Grange, TX",29.90548,-96.876657
"Hatboro, PA",40.174251,-75.106859
"Grand Rapids, MN",47.237154,-93.530233
"Richmond, CA",37.935771,-122.347769
"Mount Holly, NJ",39.993119,-74.787919
"Wenatchee, WA",47.423487,-120.310333
"Port Orchard, WA",47.5404,-122.636267
"Satellite beach, FL",28.176099,-80.590059
"Greenwich, CT",41.026247,-73.628186
"Sherwood Tigard, OR",45.356911,-122.841067
"San Jose, CA",37.338713,-121.885232
"Lemon Grove, CA",32.742562,-117.031419
"lockford, CA",38.163547,-121.149958
"Huntley, MT",45.89939,-108.301517
"Wausau, WI",44.959142,-89.630111
"New Lisbon, WI",43.879143,-90.16542
"Sea Isle, NJ",39.153466,-74.692959
"Between Centerview and alone Jack, MO",38.870839,-94.173814
"Normal, IL",40.51419,-88.990614
"Fishers, IN",39.956863,-86.017179
"Yonkers, NY",40.931196,-73.898743
"Independence, OH",41.368661,-81.637889
"Huachuca City, AZ",31.627896,-110.333988
"Pittsburgh, PA",40.44064,-79.995895
"Las Vegas, NV",36.171573,-115.139123
"Bridgeport, CT",41.179231,-73.189456
"Sunman, IN",39.236974,-85.094676
"North Branford, CT",41.32759,-72.76734
"Carbondale, IL",37.72726,-89.216746
"Waterford, CT",41.354226,-72.164835
"Lopatcong, NJ",40.712771,-75.160392
"San Diego, CA",32.715751,-117.16107
"Mount Joy, PA",40.109797,-76.503315
"Roseville, MN",45.006053,-93.156592
"Wauconda, IL",42.258923,-88.139267
"Menifee, CA",33.697166,-117.185282
"Downingtown, PA",40.006519,-75.703277
"Forest Lake, MN",45.278853,-92.985201
"Steger, IL",41.470008,-87.636446
"Johnstown, PA",40.326714,-78.921983
"Oregon, WI",42.9261,-89.38455
"Mt. Hope, WV",37.895375,-81.16429
"Los Alamos, NM",35.880013,-106.30312
"Gaithersburg, MD",39.143993,-77.201601
"Flint, MI",43.012551,-83.687444
"Hibbing or Kelly Lake, MN",47.417601,-93.006592
"Fisherville, KY",38.191485,-85.471872
"NORTH HOLLYWOOD, CA",34.17939,-118.379075
"Sun city, AZ",33.597549,-112.271806
"Orcutt, CA",34.865244,-120.435975
"Maplewood, MN",44.952995,-92.995197
"Holly Hill, SC",33.322659,-80.413686
"Winston Salem, NC",36.099875,-80.244219
"Brandywine, MD",38.696762,-76.847732
"bellgrade, MT",45.776273,-111.177096
"Fulks Run, VA",38.660106,-78.906155
"St Louis, MO",38.626985,-90.199422
"Mount Horeb, WI",43.008581,-89.738449
"Payson, AZ",34.23088,-111.325141
"Northridge, CA",34.238152,-118.530125
"The Villages, FL",28.927037,-82.003757
"Leavenworth, WA",47.596238,-120.661461
"West Hollywood, CA",34.089983,-118.361765
"Vestavia Hills, AL",33.448714,-86.787778
"Newcastle, WA",47.5376,-122.161989
"Hayden, ID",47.766039,-116.786599
"Casa Grande, AZ",32.910976,-111.773413
"Ponce inlet, FL",29.096361,-80.936998
"Abiquiu, NM",36.207246,-106.31866
"Summerville, SC",33.018477,-80.175661
"Waterford, MI",42.690758,-83.406625
"Wilmington, NC",34.210412,-77.886824
"Sun City West, AZ",33.662008,-112.34129
"Scottsdale, AZ",33.494158,-111.926074
"Hyannis, MA",41.6525,-70.288093
"Sinking Spring, PA",40.32729,-76.011031
"Shoreline, WA",47.755992,-122.345693
"Snow Camp, NC",35.893495,-79.430012
"Mckenney, VA",36.986794,-77.723036
"Manchester, NH",42.995666,-71.454799
"Elkview, WV",38.43191,-81.477334
"Seattle, WA",47.606197,-122.332076
"Philadelphia, PA",39.952608,-75.165202
"Gary, IN",41.602049,-87.337167
"Barstow, CA",34.895821,-117.017272
"Warwick, NY",41.256492,-74.359895
"San antonio, TX",29.425196,-98.494573
"Turnersville, NJ, NJ",39.772911,-75.05187
"Montgomery, TX",30.388266,-95.696325
"Fort Wayne, IN",41.079293,-85.139342
"Pompano bch, FL",26.237884,-80.124742
"Newbury Park, CA",34.180517,-118.907075
"Springfield, NE",41.081784,-96.133347
"Perkasie, PA",40.372022,-75.29266
"Oakland, CA",37.804354,-122.271144
"Coeur d' Alene, ID",47.673472,-116.781206
"Tacoma, WA",47.252901,-122.444282
"Brooklyn, NY",40.678153,-73.94416
"Olympia, WA",47.037886,-122.900681
"Compton / Paramount, CA",33.889461,-118.159774
"Merrillville, IN",41.48284,-87.332798
"Garfield, NJ",40.881506,-74.113179
"Suisun (Soosoon) City,, CA",38.237721,-122.041462
"Sioux City, IA",42.496317,-96.404924
"baltiomre, MD",39.290369,-76.612194
"Lawrence, KS",38.971694,-95.23523
"Beeville, TX",28.40081,-97.748321
"Coram, NY",40.868704,-73.001515
"Fenton, MI",42.797831,-83.704944
"Lisle, IL",41.801129,-88.074798
"Lombard, IL",41.880053,-88.007827
"Needles, CA",34.848061,-114.614119
"Prairieville, LA",30.305886,-90.972364
"Milton, NH",43.444114,-71.009189
"Fayetteville, TN",35.152,-86.570544
"Lenexa, KS",38.953642,-94.733565
"Newburg, IN",37.944497,-87.405266
"Kent, WA",47.383041,-122.234757
"Medford, OR",42.326506,-122.875578
"Keizer, OR",44.990104,-123.026199
"San Juan batista, CA",36.845502,-121.538019
"Fairfield, WA",47.385178,-117.171586
"Pendleton, OR",45.672051,-118.788578
"Harpursville, NY",42.178414,-75.62461
"Tampa, FL",27.950557,-82.457165
"Weirton, WV",40.418956,-80.58953
"Hinsdale, NH",42.78621,-72.486516
"Burbank, CA",34.18082,-118.308974
"Peoria, AZ",33.58062,-112.237358
"Carthage, TN",36.252282,-85.951674
"Franklin, IN",39.480579,-86.054968
"Belvidere, IL",42.263908,-88.844257
"Sacramento, CA",38.581549,-121.494414
"Albany, OR",44.636493,-123.105936
"Gorham, ME",43.679558,-70.44424
"Loveland, CO",40.39774,-105.07498
"Henderson, NV",36.039542,-114.981699
"Kentwood, MI",42.8695,-85.644759
"Colorado Springs, CO",38.833863,-104.821344
"Antwerp, OH",41.181412,-84.740501
"Danville, AL",34.414518,-87.087526
"Orange, CT",41.278634,-73.026535
"Mansfield, OH",40.758364,-82.515461
"Cumming, GA",34.207295,-84.140181
"Palm Bay, FL",28.034452,-80.588687
"Fort Lauderdale, FL",26.12244,-80.137337
"Everton, MO",37.342572,-93.702443
"Ann arbor, MI",42.280806,-83.743018
"Warrensburg, MO",38.762785,-93.736064
"COON RAPIDS, MN",45.173266,-93.303006
"Rockville, MD",39.083974,-77.152754
"Calabash, NC",33.89113,-78.567037
"Cape Hatteras, NC",35.248049,-75.539338
"Alexandria, VA",38.804814,-77.046901
"Just east of Kansas city at FL330, MO",39.09974,-94.578546
"Wayne, NJ",40.925399,-74.276538
"Macon, GA",32.840689,-83.632404
"Morgantown, WV",39.629552,-79.955895
"Kansas City, MO",39.09974,-94.578546
"Muskogee, OK",35.747875,-95.369675
"Estill Springs, TN",35.27063,-86.12802
"Brookings, OR",42.052609,-124.283999
"Haw river, NC",36.094976,-79.356831
"Fairhope, AL",30.522982,-87.903331
"Fall River, MA",41.701491,-71.155059
"Stratham, NH",43.022892,-70.916376
"Zephyrhills, FL",28.233631,-82.181218
"BOYNTON beach, FL",26.531783,-80.090539
"St George, KS",39.191097,-96.420293
"Lakeland, FL",28.039466,-81.949799
"Rocksprings, TX",30.015778,-100.205348
"Murray, KY",36.610309,-88.314739
"Syracuse, NY",43.048141,-76.147407
"BROOKLYN CENTER, MN",45.076084,-93.332746
"Lafayette, PA",40.092722,-75.253159
"Rutherfordton, NC",35.369275,-81.956792
"Lamcaster, SC",34.720402,-80.770895
"Westport, MA",41.570001,-71.073555
"Linton, IN",39.034792,-87.165857
"Fremont, CA",37.54855,-121.988604
"Stroudsburg, PA",40.986775,-75.19462
"Saltville, VA",36.881494,-81.762044
"Stanley, NY",42.824948,-77.095969
"Stoutsville, OH",39.60478,-82.829084
"Rio Rancho, NM",35.232727,-106.663051
"Benton, IL",37.996695,-88.92007
"Sandusky, OH",41.456202,-82.711701
"New York, NY",40.712754,-74.005959
"Murphy, NC",35.087565,-84.034652
"Monroeville, PA",40.421207,-79.788119
"Norman, OK",35.222549,-97.439464
"Lititz, PA",40.157305,-76.306896
"Germantown, NY",42.134516,-73.891817
"North east, MD",39.600115,-75.941323
"lebanon, CT",41.636292,-72.212541
"South Portland, ME",43.64148,-70.240876
"Douglas/Bill, WY",42.759702,-105.382222
"Bellingham, WA",48.751893,-122.478668
"Wesley Chapel, FL",28.198335,-82.33043
"FRANKLIN, CT",41.609031,-72.146017
"Sunrise, FL",26.166981,-80.256609
"Panama city, FL",30.158809,-85.660184
"Inverness, FL",28.835441,-82.331386
"Holladay, UT",40.668809,-111.824651
"Byesville, OH",39.969808,-81.536497
"Adelanto, CA",34.582765,-117.409219
"Bow, WA",48.560291,-122.398019
"Hellam, PA",40.024522,-76.583519
"daleville, IN",40.121139,-85.558037
"Mount Vernon, WA",48.420113,-122.33746
"Rancho mission viejo, CA",33.526385,-117.618716
"New Braunfels, TX",29.702592,-98.124043
"Concord, CA",37.977951,-122.031074
"New Port Richey, FL",28.244204,-82.719272
"Speculator, NY",43.497295,-74.36182
"Show Low, AZ",34.254212,-110.029828
"Saint joe, IN",41.315331,-84.902784
"McMinnville, OR",45.210765,-123.194506
"Arvada, CO",39.802759,-105.087498
"Davnport. Fl, FL",28.161412,-81.601723
"Homosassa, FL",28.781361,-82.615107
"Reading, PA",40.335621,-75.926893
"Rrochester, NH",43.304508,-70.975636
"Center Point, IA",42.190807,-91.785193
"Lampasas County, TX",31.273748,-98.221301
"Mason City, IA",43.15355,-93.201019
"Annapolis, MD",38.978435,-76.492198
"Benson, NC",35.382129,-78.548605
"Jamestown, NY",42.097011,-79.235317
"Valley View, PA",40.645946,-76.539144
"Truxton, NY",42.711986,-76.028522
"Topeka, KS",39.04733,-95.675148
"North Royalton, OH",41.313679,-81.724573
"Altmar, NY",43.510078,-76.002124
"Melrose, MA",42.454813,-71.065487
"Port charlotte, FL",26.976192,-82.090667
"Lancaster, PA",40.037853,-76.305528
"Florence, KY",38.998976,-84.626605
"Yucaipa, CA",34.033623,-117.043065
"Oswego, IL",41.68282,-88.351442
"Tuscola, IL",39.799219,-88.283124
"Daytona Beach, FL",29.210793,-81.022828
"Amarillo, TX",35.221988,-101.831285
"Santa Clara, CA",37.354115,-121.955225
"SUSANVILLE, CA",40.416259,-120.652993
"Aurora, IL",41.760596,-88.320088
"Montgomery, OH",39.22809,-84.354087
"Wildwood, FL",28.865527,-82.037953
"Birmingham, AL",33.518615,-86.810344
"Las Cruces, NM",32.319956,-106.763637
"Ashburn, GA",31.705996,-83.653202
"osage beach, MO",38.150299,-92.617948
"DUGSPUR, VA",36.81789,-80.609773
"Lexington, KY",38.040557,-84.503737
"Tunkhannock, PA",41.538702,-75.946587
"Anniston, AL",33.659822,-85.831613
"Dixon, MO",37.991732,-92.093762
"Cortez, CO",37.348864,-108.585939
"Brewerton, NY",43.238151,-76.140767
"Near San Diego, CA",32.715751,-117.16107
"Apex, NC",35.732678,-78.850303
"Hamilton, MO",39.743611,-93.998295
"Safford, AZ",32.833981,-109.707557
"Las vegas, NV",36.171573,-115.139123
"Sierra vista, AZ",31.545509,-110.27729
"Kingman, AZ",35.189433,-114.052999
"Douglas, AZ",31.34452,-109.545323
"Holyoke or Springfield, MA",42.204279,-72.616205
"portland, TN",36.581689,-86.516374
"State College, PA",40.793379,-77.860014
"Melbourne Beach, FL",28.068324,-80.560349
"Northern Myrtle Beach, SC",33.816029,-78.680038
"Stanford, KY",37.53121,-84.661873
"Oxford, MI",42.824755,-83.265207
"Buffalo, MN",45.171799,-93.874789
"Oshkosh, WI",44.024686,-88.542622
"Fiddletown, CA",38.503937,-120.756582
"new britain, CT",41.661214,-72.779528
"Ansonia, CO",41.346212,-73.078984
"Mary Esther, FL",30.409903,-86.663033
"west palm beach, FL",26.715362,-80.053353
"Tulsa, OK",36.153999,-95.992759
"St louis, MO",38.626985,-90.199422
"Lafayette, LA",30.224117,-92.019853
"Semmes, AL",30.778646,-88.258867
"Marietta, OH",39.415355,-81.454839
"Statesboro, GA",32.4488,-81.78317
"Memphis, TN",35.149534,-90.048988
"Yucca Valley, CA",34.11418,-116.432224
"Coconut Creek, FL",26.251727,-80.178911
"Buffalo, NY",42.88647,-78.878389
"Porter county, IN",41.524838,-87.10238
"Myrtle Beach, SC",33.689087,-78.886715
"Ocean Shores, WA",47.007424,-124.161348
"Shawnee, KS",39.022829,-94.715175
"Port Richey, FL",28.271701,-82.719554
"Erie, PA",42.129228,-80.085076
"Fontana, CA",34.092238,-117.435067
"LAKE HAVASU CITY, CA",34.467324,-114.375751
"Cincinnati, OH",39.103092,-84.51204
"Holmesville, OH",40.629522,-81.924289
"Bakersfield, CA",35.373312,-119.018733
"Morristown, TN",36.213955,-83.294891
"Garfield Hts, OH",41.41698,-81.605976
"Lexington, SC",33.98151,-81.236233
"Abiqui, NM",36.207246,-106.31866
"Mount Vernon, OH",40.393249,-82.485442
"Waterford, WI",42.76308,-88.214246
"Arroyo Grande, CA",35.118598,-120.590721
"Essex Junction, VT",44.49056,-73.111224
"Tonto Basin, AZ",33.850255,-111.310456
"Magalia, CA",39.812095,-121.578286
"Oro Valley, AZ",32.390905,-110.966473
"Pekin, IL",40.567538,-89.640667
"Houston, TX",29.7604,-95.369784
"Yakima, WA",46.602072,-120.505894
"Jonesboro, AR",35.835669,-90.705152
"Naples, FL",26.142012,-81.794833
"Westland, MI",42.324179,-83.400192
"Arlington, TX",32.735713,-97.108043
"Murfreesboro, TN",35.845599,-86.390259
"marina del rey los angeles, CA",33.980275,-118.451766
"HARTSVILLE, SC",34.374306,-80.073336
"Chadwick, IL",42.013382,-89.89066
"Berwyn, IL",41.850598,-87.793652
"St George, UT",37.096505,-113.568395
"Saint Louis, MO",38.626985,-90.199422
"Lakewood, CO",39.704689,-105.081353
"Grandview, MO",38.885819,-94.532991
"Hawthorne, NV",38.524641,-118.624577
"Rehoboth Beach, DE",38.720969,-75.075993
"Washington DC, DC",38.907196,-77.036854
"Washington dc, DC",38.907196,-77.036854
"PORT ORANGE, FL",29.138302,-80.995609
"Taos, NM",36.40724,-105.573394
"Dennis, MA",41.735333,-70.193961
"Little Rock, AR",34.744463,-92.288038
"North Miami, FL",25.890071,-80.186696
"Ridgeland, SC",32.480739,-80.980365
"Lavon, TX",33.027592,-96.43414
"Jacksonville, FL",30.332211,-81.655632
"Washington Court House, OH",39.537376,-83.437562
"Marion, NC",35.683996,-82.009292
"jackson, AL",31.509053,-87.894451
"Katy, TX",29.785771,-95.82453
"Mandeville, LA",30.358271,-90.065654
"-, NM",34.519932,-105.870109
"Falling Waters, WV",39.559545,-77.890637
"Spring Valley, CA",32.744799,-116.9989
"Booneville, MS",34.658145,-88.566681
"Garden City, ID",43.622095,-116.23819
"Archbald, PA",41.494798,-75.53685
"Schurz, NV",38.950733,-118.811277
"Star, ID",43.692083,-116.493444
"Toledo, OH",41.65282,-83.537866
"Amherst, OH",41.397795,-82.222359
"denver, CO",39.739241,-104.990241
"Bartlesville, OK",36.747317,-95.980813
"Phoenix, AZ",33.448379,-112.074018
"Palm desert, CA",33.722231,-116.374456
"Cottonwood, AZ",34.739173,-112.009873
"Cana, VA",36.589575,-80.671731
"Centerburg, OH",40.304417,-82.696241
"Whittier, CA",33.979185,-118.032822
"Franklin, TN",35.92504,-86.868903
"Mulga, AL",33.549802,-86.97414
"Rosenberg, TX",29.557202,-95.808577
"Waxhaw, NC",34.924592,-80.743403
"Chocowinity, NC",35.512641,-77.100487
"SAVANNAH, GA",32.080891,-81.09122
"Hampden, MA",42.063957,-72.413409
"Sheboygan, WI",43.750854,-87.714537
"Gadsden, AL",34.014285,-86.00666
"Rancho Palos Verdes, CA",33.744479,-118.387032
"Zuni, NM",35.06946,-108.848439
"Saint James, MO",37.997251,-91.614338
"Sebring, FL",27.495603,-81.440905
"clearwater, FL",27.965878,-82.800104
"Avondale, AZ",33.435609,-112.349624
"Tarzana (Los Angeles), CA",34.149502,-118.550637
"Pace, FL",30.599349,-87.161072
"tempe, AZ",33.425501,-111.939983
"Leominster, MA",42.525092,-71.759812
"Saint Charles, MO",38.78808,-90.497457
"Boise, ID",43.615036,-116.202328
"Torrance, CA",33.835843,-118.340623
"Boston, MA",42.360058,-71.058888
"DOYLESTOWN, PA",40.310091,-75.129873
"Paramus, NJ",40.94456,-74.075407
"Tempe, AZ",33.425501,-111.939983
"Evansville, IN",37.971569,-87.571104
"Beacon, NY",41.504794,-73.969566
"Hastings, MI",42.64588,-85.29082
"Bellevue, WA",47.610153,-122.20151
"Irving, TX",32.814018,-96.948908
"poteau, OK",35.053688,-94.623536
"King, NC",36.280557,-80.359349
"Chesterland, OH",41.52226,-81.337882
"Asheville, NC",35.595059,-82.551501
"East Liverpool, OH",40.6187,-80.577297
"San Bernadino, CA",34.10832,-117.289786
"Edisto Island, SC",32.550321,-80.297124
"Newport, RI",41.490104,-71.312812
"Missoula, MT",46.872131,-113.994032
"Mequon, WI",43.215896,-88.031437
"Wellington, FL",26.661777,-80.268334
"West Palm Beach, FL",26.715362,-80.053353
"Jersey City, NJ",40.71778,-74.043146
"Glendale, AZ",33.538649,-112.186001
"Goulds, FL",25.566189,-80.381802
"Piqua, OH",40.144768,-84.242465
"Spangle, WA",47.427367,-117.380217
"Brandon, MS",32.278866,-90.001403
"Rural area, TN",35.517509,-86.580454
"Clemons, NY",43.635716,-73.445936
"Foothill Ranch, CA",33.683171,-117.666437
"Carrollton, OH",40.572855,-81.085651
"Bedminster, NJ",40.669239,-74.680382
"Dublin, VA",37.105657,-80.685348
"Coquille, OR",43.177063,-124.187594
"Kenner, LA",29.994068,-90.241725
"Fayetteville, AR",36.062652,-94.160605
"Republic, MO",37.120061,-93.480174
"Lynchburg, VA",37.413767,-79.142236
"Manchester, OH",38.688105,-83.609352
"Lynnwood, WA",47.820941,-122.315124
"Rogers, AR",36.333522,-94.125707
"Wells, ME",43.32222,-70.58054
"Guilford, CT",41.288884,-72.674355
"Columbus, GA",32.46095,-84.98772
"Sigourney, IA",41.333329,-92.20462
"Simpsonville, SC",34.73704,-82.2543
"Columbu, GA",32.46095,-84.98772
"Bozeman, MT",45.681447,-111.03198
"Viola, DE",39.042906,-75.571855
"Livingston, MT",45.661412,-110.559963
"Turlock, CA",37.494585,-120.845997
"Farmington, NM",36.728042,-108.218706
"North topsail island, NC",34.469604,-77.471909
"Lake Forest, CA",33.646935,-117.686125
"Windsor, CO",40.477482,-104.901342
"Pickerington, OH",39.884217,-82.753487
"Arlington, WA",48.198726,-122.125146
"Banning, CA",33.92557,-116.876433
"Napoleon, IN",39.204788,-85.330817
"Charlotte, NC",35.227105,-80.843117
"Kissimmee, FL",28.291947,-81.407594
"Port St John, FL",28.476962,-80.788663
"Rockwood, TN",35.86564,-84.684948
"Brooksville, FL",28.555247,-82.387894
"Auburn, NY",42.931759,-76.56607
"Bronx, NY",40.844807,-73.864846
"Manhattan, NY",40.783068,-73.971252
"St Augustine, FL",29.901264,-81.312411
"Wyomissing, PA",40.329547,-75.965202
"milwaukee, WI",43.038918,-87.906487
"Paris, TX",33.660955,-95.555535
"westminster, CA",33.759179,-117.989701
"Newington, CT",41.697305,-72.722848
"Diablo/Martinez, CA",37.988991,-122.099456
"HILO, HI",19.721628,-155.084866
"Great Falls, MT",47.505305,-111.300753
"Bear, DE",39.629306,-75.658266
"Berwick, PA",41.054511,-76.233283
"Des Moines, IA",41.586808,-93.624939
"Indian Shores, FL",27.862781,-82.848453
"Raynham, MA",41.948702,-71.073118
"Corte Madera, CA",37.925471,-122.527494
"Merrill, WI",45.180532,-89.683442
"Egg harbor, WI",45.046403,-87.297033
"New Albany, OH",40.082148,-82.810107
"Addison, NY",42.102867,-77.233587
"Wasco, CA",35.594108,-119.340959
"Louisville, KY",38.252691,-85.758435
"New York q, NY",40.728245,-73.794861
"Bluefield, WV",37.269854,-81.222299
"Rebecca, GA",31.806579,-83.486851
"Jamul, CA",32.717025,-116.876157
"Nashville, TN",36.162676,-86.781614
"Lake Charles, LA",30.226593,-93.217378
"Clemson, SC",34.683412,-82.837383
"Sagamore Hills, OH",41.311747,-81.56819
"Honor, MI",44.663866,-86.018137
"Lehigh Acres, FL",26.625369,-81.624814
"Browns mills, NJ",39.972932,-74.583474
"Judsonia, AR",35.283053,-91.636446
"Gulf Shores, AL",30.246012,-87.700814
"Grand junction, CO",39.063882,-108.550668
"Flora, IL",38.668928,-88.485583
"Louisville, TN",35.821773,-84.047946
"Laveen, AZ",33.382595,-112.123667
"Myrtle beach, SC",33.689087,-78.886715
"Paso Robles, CA",35.636854,-120.65451
"Saint Mary, MO",37.878915,-89.949293
"Resaca, GA",34.580449,-84.943555
"Palmyra, PA",40.308953,-76.593316
"Clearwater, FL",27.965878,-82.800104
"Lewiston, ID",46.400393,-117.001203
"Pepin, WI",44.441062,-92.147934
"Lincoln, NE",40.813594,-96.702575
"Virgin, UT",37.208343,-113.188283
"Saint Augustine, FL",29.901264,-81.312411
"Champaign, IL",40.116439,-88.243364
"Winter Park, FL",28.599973,-81.339213
"Santa Fe, NM",35.687002,-105.937783
"Neenach (Northern, Los Angeles County), CA",34.78057,-118.580933
"andrews afb, MD",38.796494,-76.883611
"Hauser Lake, ID",47.781231,-117.020794
"Loranger, LA",30.635739,-90.398167
"Hwy 71 between maryville - saint joeseph, MO",39.758435,-94.791074
"Chico, CA",39.728521,-121.837478
"Walnut Creek, CA",37.910105,-122.065162
"Fairport, OH",41.750026,-81.273999
"Skykomish, WA",47.70928,-121.360106
"Logan Township, NJ",39.784714,-75.3492
"Griffin, GA",33.246795,-84.26407
"??, NC",35.759599,-79.019289
"Indiatlantic, FL",28.089468,-80.565584
"Satsuma, FL",29.554952,-81.655898
"Burnsville, MS",34.84067,-88.314744
"Nampa, ID",43.578832,-116.55979
"Bridgman, MI",41.943121,-86.556973
"Tiverton, RI",41.625937,-71.213411
"Lower Lewis Falls Camp Ground, WA",46.15466,-121.879653
"Dallas, TX",32.776643,-96.79701
